  20506202: -->ethanoyl-radical<--
  11920601: -->2-methylpentane<--
  20708304: -->propanoyl-2-one-radical<--
  10910200: -->ethyl-hydroperoxide<--
  11011300: -->cyclopropane<--
  21213401: -->2-butyl-radical<--
  12223704: -->3,3-dimethylpentane<--
  20203000: -->peroxyl-radical<--
  21011407: -->1,2-dibutanal-1-yl<--
  10102000: -->hydrogen<--
  21415404: -->prop-3-yl-1-hydroperoxy-2-methyl-radical<--
  20506200: -->ethanoyl-radical<--
  20708302: -->propanoyl-3-al-radical<--
  10405200: -->ethenone<--
  20809303: -->propanal-3-yl-radical<--
  12223702: -->2,3-dimethylpentane<--
  21011405: -->prop-1-en-2-methyl-1-yl-radical<--
  12627903: -->4-nonene<--
  21415402: -->prop-1-yl-2-hydroperoxy-2-methyl-radical<--
  20708300: -->prop-2-en-1-yl-radical<--
  10506100: -->methanol<--
  20708201: -->methylperoxyacyl-radical<--
  10707200: -->oxirane<--
  20809301: -->propanone-1-yl-radical<--
  21011403: -->but-2-en-2-yl-radical<--
  12627901: -->2-nonene<--
  21415400: -->propan-2-methyl-2-peroxy-radical<--
  11718601: -->2-hexene<--
  11415407: -->4-hydroperoxy-2-butanal<--
  10708200: -->ethane<--
  21011401: -->but-1-en-1-yl-radical<--
  20001000: -->hydrogen-radical<--
  10607100: -->methyl-hydroperoxide<--
  20304200: -->ketenyl-radical<--
  11415405: -->1-hydroperoxy-2-butanal<--
  21112301: -->propylperoxy-radical<--
  11213400: -->1-butanal<--
  20607400: -->1-butyne-3-ene-3-yl<--
  21516403: -->butan-1-hydroxy-2-peroxy-radical<--
  12829900: -->nonane<--
  20405100: -->methoxy-radical<--
  11415403: -->3-hydroperoxy-1-butanal<--
  20607202: -->ethoxynal<--
  10304100: -->aldehyde<--
  20506300: -->prop-2-yn-1-yl-radical<--
  13738900: -->dodecane<--
  10203000: -->water<--
  11415500: -->1-pentene<--
  21516401: -->propan-2-hydroxy-2-methyl-1-peroxy-radical<--
  11415401: -->1-hydroperoxy-1-butanal<--
  20607200: -->ethyl-radical<--
  10910401: -->butadiene<--
  12526801: -->2,2,4-trimethylpentane<--
  10405100: -->methane<--
  10910302: -->prop-2-ene-1-ol<--
  11011402: -->1-butanal-3-ene<--
EndOfOutput
